base_model,n_derived_models,share_pct,cumulative_pct,rank,n_tasks,n_activities,tasks
Qwen/Qwen2.5-7B,126,4.3,4.3,1,21,4,code completion; code editing; code generation; code review; code search; code translation; coding; construction for security; corrective maintenance; cybersecurity; data analysis; debugging; design pattern; information security; quality management; rapid prototyping; sentiment analysis; static analysis; system design; verification; vulnerability detection
meta-llama/Llama-3.1-8B,95,3.24,7.54,2,22,5,bug prediction; code completion; code generation; code review; code translation; coding; construction for security; cybersecurity; data analysis; debugging; defect detection; information security; logging; requirements analysis; sentiment analysis; software security; static analysis; structural design; test generation; type inference; verification; vulnerability detection
mistralai/Mistral-7B-v0.1,94,3.21,10.75,3,8,2,code completion; code editing; code generation; code search; coding; rapid prototyping; software design; system design
Qwen/Qwen3-0.6B-Base,83,2.83,13.58,4,8,4,code completion; code generation; code translation; coding; design pattern; information security; logging; system design
Qwen/Qwen2.5-14B,71,2.42,16.0,5,13,5,code completion; code generation; code review; code search; code translation; coding; data analysis; design pattern; static analysis; system design; system requirement; test generation; verification
Qwen/Qwen2.5-1.5B,63,2.15,18.15,6,9,3,code completion; code editing; code generation; coding; data analysis; program repair; sentiment analysis; type inference; verification
codellama/CodeLlama-7b-hf,60,2.05,20.2,7,13,3,code completion; code generation; code review; code understanding; coding; data analysis; information security; logging; program repair; static analysis; test generation; type inference; verification
Qwen/Qwen3-4B-Base,59,2.01,22.21,8,13,5,architectural design; code completion; code generation; code review; code translation; code understanding; coding; data analysis; debugging; design pattern; rapid prototyping; system requirement; vulnerability detection
Qwen/Qwen2.5-32B,57,1.94,24.15,9,13,4,code completion; code editing; code generation; code representation; code review; code understanding; coding; data analysis; design pattern; quality assurance; software architecture; software maintenance; software security
Qwen/Qwen3-1.7B-Base,55,1.88,26.03,10,4,2,code generation; code understanding; coding; construction for security
Qwen/Qwen3-8B-Base,49,1.67,27.7,11,9,4,code generation; code review; coding; data analysis; design pattern; logging; rapid prototyping; system design; verification
Qwen/Qwen3-Coder-30B-A3B-Instruct,49,1.67,29.37,12,5,2,code generation; code understanding; coding; data analysis; system design
mrm8488/bloom-560m-finetuned-the-stack-rust,48,1.64,31.01,13,6,3,code completion; code generation; code translation; coding; defect detection; program repair
Qwen/Qwen3-4B-Instruct-2507,48,1.64,32.65,14,5,2,code completion; code generation; coding; data analysis; debugging
Qwen/Qwen2.5-3B,45,1.54,34.19,15,12,4,code editing; code generation; code review; coding; construction for security; data analysis; design pattern; information security; logging; security testing; static analysis; verification
Qwen/Qwen3-4B-Thinking-2507,42,1.43,35.62,16,5,2,code completion; code generation; coding; data analysis; debugging
Qwen/Qwen3-30B-A3B-Thinking-2507,36,1.23,36.85,17,3,1,code generation; coding; data analysis
deepseek-ai/deepseek-coder-6.7b-base,36,1.23,38.08,18,8,4,code completion; code editing; code generation; code review; code search; coding; system design; vulnerability detection
Qwen/Qwen2.5-0.5B,35,1.19,39.27,19,11,3,code generation; code review; code search; code translation; coding; data analysis; debugging; information security; logging; static analysis; vulnerability detection
Qwen/Qwen3-30B-A3B-Instruct-2507,33,1.13,40.4,20,3,1,code generation; coding; data analysis
infly/OpenCoder-1.5B-Base,30,1.02,41.42,21,2,1,code completion; code generation
deepseek-ai/deepseek-coder-1.3b-base,29,0.99,42.41,22,7,2,code completion; code editing; code generation; code understanding; coding; construction for security; data analysis
mistral-community/Mistral-7B-v0.2,26,0.89,43.3,23,9,3,code generation; code review; code search; coding; cybersecurity; data analysis; information security; logging; vulnerability detection
openai/gpt-oss-20b,26,0.89,44.19,24,10,4,code completion; code generation; code summarization; coding; data analysis; program synthesis; rapid prototyping; specification generation; static analysis; verification
Qwen/Qwen3-14B-Base,23,0.78,44.97,25,3,2,code generation; coding; software architecture
Qwen/Qwen3-32B,22,0.75,45.72,26,4,2,code completion; code generation; code review; coding
codellama/CodeLlama-13b-hf,22,0.75,46.47,27,6,3,code completion; code generation; coding; cybersecurity; data analysis; program repair
microsoft/phi-4,20,0.68,47.15,28,3,2,code generation; coding; quality assurance
openai-community/gpt2,18,0.61,47.76,29,7,3,code completion; code generation; code search; code summarization; coding; rapid prototyping; sentiment analysis
Salesforce/codegen-350M-multi,17,0.58,48.34,30,5,2,code completion; code generation; coding; program synthesis; rapid prototyping
microsoft/Phi-3.5-vision-instruct,17,0.58,48.92,31,4,2,code generation; code understanding; coding; cybersecurity
mistralai/Mistral-7B-v0.3,17,0.58,49.5,32,10,3,code completion; code generation; coding; data analysis; debugging; logging; preventive maintenance; software testing; testing automation; verification
meta-llama/Llama-3.2-1B-Instruct,16,0.55,50.05,33,2,1,code generation; coding
meta-llama/Llama-3.1-70B,16,0.55,50.6,34,5,2,code completion; code generation; coding; data analysis; information security
microsoft/phi-2,15,0.51,51.11,35,5,2,code completion; code generation; coding; cybersecurity; vulnerability detection
meta-llama/Llama-2-13b,15,0.51,51.62,36,2,1,code generation; coding
Qwen/Qwen3-VL-8B-Instruct,15,0.51,52.13,37,2,1,code generation; coding
google-bert/bert-base-uncased,15,0.51,52.64,38,9,3,code coverage prediction; information security; logging; quality assurance; requirements classification; requirements engineering; sentiment analysis; software maintenance; software requirement
ibm-granite/granite-20b-code-base-8k,15,0.51,53.15,39,8,3,code generation; code review; code translation; code understanding; coding; instruction generation; verification; vulnerability detection
bigcode/starcoder2-3b,15,0.51,53.66,40,4,1,code completion; code generation; coding; data analysis
codellama/CodeLlama-34b-Instruct-hf,15,0.51,54.17,41,3,1,code completion; code generation; coding
codellama/CodeLlama-70b-hf,14,0.48,54.65,42,6,2,code completion; code editing; code generation; code review; coding; program repair
FacebookAI/roberta-base,14,0.48,55.13,43,14,4,api recommendation; code completion; code generation; code representation; code review; code search; code summarization; code understanding; information security; logging; requirements specification; software maintenance; static analysis; vulnerability detection
google/gemma-2b,14,0.48,55.61,44,6,3,code completion; code generation; code understanding; coding; debugging; use cases generation
meta-llama/Llama-2-7b,13,0.44,56.05,45,3,1,code completion; code generation; coding
gpt2,13,0.44,56.49,46,6,3,code completion; code generation; code search; coding; logging; verification
Qwen/Qwen3-30B-A3B-Base,12,0.41,56.9,47,6,3,code editing; code generation; code review; data analysis; logging; software quality
zai-org/GLM-4.6,12,0.41,57.31,48,2,1,code generation; coding
google-t5/t5-base,12,0.41,57.72,49,5,2,code comment generation; code generation; code summarization; program synthesis; verification
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,11,0.38,58.1,50,6,2,code completion; code generation; code review; coding; log parsing; logging
ibm-granite/granite-8b-code-base-4k,11,0.38,58.48,51,5,2,code completion; code generation; code translation; coding; vulnerability detection
Qwen/Qwen2.5-72B,11,0.38,58.86,52,5,2,code generation; coding; cybersecurity; data analysis; information security
microsoft/codebert-base,11,0.38,59.24,53,11,4,code completion; code generation; code review; code search; code summarization; defect detection; design pattern; rapid prototyping; software design; static analysis; vulnerability detection
meta-llama/Meta-Llama-3-8B,11,0.38,59.62,54,8,3,code completion; code generation; cybersecurity; data analysis; instruction generation; logging; security testing; sentiment analysis
microsoft/Phi-3-mini-4k-instruct,10,0.34,59.96,55,9,4,code completion; code generation; code review; coding; data analysis; design pattern; information security; software design; testing automation
Qwen/Qwen3-VL-32B-Instruct,10,0.34,60.3,56,1,1,code generation
microsoft/Phi-3.5-mini-instruct,10,0.34,60.64,57,3,1,code generation; code understanding; coding
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,10,0.34,60.98,58,4,1,code completion; code generation; coding; program synthesis
deepseek-ai/deepseek-coder-33b-base,10,0.34,61.32,59,2,1,code completion; code generation
zai-org/GLM-4.7,9,0.31,61.63,60,1,1,code generation
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,9,0.31,61.94,61,5,2,code completion; code generation; code review; code understanding; coding
Qwen/Qwen3-VL-30B-A3B-Instruct,9,0.31,62.25,62,3,1,code completion; code generation; coding
distilbert/distilbert-base-uncased,9,0.31,62.56,63,8,3,code generation; code review; construction for security; debugging; information security; logging; security testing; sentiment analysis
Qwen/Qwen3-VL-4B-Instruct,9,0.31,62.87,64,1,1,code generation
Qwen/Qwen3-VL-8B-Thinking,9,0.31,63.18,65,2,1,code generation; coding
MiniMaxAI/MiniMax-M2.1,9,0.31,63.49,66,1,1,code generation
ibm-granite/granite-3b-code-base-2k,9,0.31,63.8,67,4,2,code generation; code translation; coding; vulnerability detection
bhenrym14/mistral-7b-platypus-fp16,8,0.27,64.07,68,1,1,code generation
Qwen/Qwen1.5-0.5B,8,0.27,64.34,69,1,1,code understanding
meta-llama/Llama-3.2-1B,8,0.27,64.61,70,4,3,code generation; code review; coding; requirements specification
CohereLabs/c4ai-command-r-08-2024,8,0.27,64.88,71,1,1,code completion
Nanbeige/Nanbeige4-3B-Base,8,0.27,65.15,72,2,1,code generation; coding
Salesforce/codet5-base,8,0.27,65.42,73,10,5,code clone detection; code comment generation; code generation; code summarization; code translation; code understanding; defect detection; software design; software requirement; system design
MiniMaxAI/MiniMax-M2.5,8,0.27,65.69,74,2,2,code generation; system design
Qwen/Qwen3-235B-A22B,8,0.27,65.96,75,1,1,code generation
openai/gpt-oss-120b,8,0.27,66.23,76,5,3,code generation; coding; rapid prototyping; test generation; verification
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8,0.27,66.5,77,4,2,code completion; code generation; code review; coding
Qwen/Qwen3-VL-2B-Instruct,8,0.27,66.77,78,3,1,code completion; code generation; coding
Qwen/Qwen3-VL-32B-Thinking,8,0.27,67.04,79,2,2,code generation; design pattern
mistralai/Mistral-Small-3.1-24B-Base-2503,8,0.27,67.31,80,3,1,code editing; code generation; coding
Qwen/Qwen3.5-27B,7,0.24,67.55,81,3,3,code generation; code review; information security
Qwen/Qwen3-Coder-480B-A35B-Instruct,7,0.24,67.79,82,4,2,code generation; code understanding; coding; logging
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.002,7,0.24,68.03,83,4,1,code completion; code generation; coding; data analysis
EssentialAI/rnj-1,7,0.24,68.27,84,3,2,code generation; data analysis; logging
google/gemma-7b,7,0.24,68.51,85,6,3,code generation; code search; code understanding; coding; rapid prototyping; use cases generation
nreimers/MiniLM-L6-H384-uncased,7,0.24,68.75,86,1,1,code search
Qwen/Qwen3-VL-30B-A3B-Thinking,7,0.24,68.99,87,2,1,code generation; coding
MiniMaxAI/MiniMax-M2,7,0.24,69.23,88,1,1,code generation
ibm-granite/granite-3.1-8b-base,7,0.24,69.47,89,4,1,code completion; code generation; code understanding; coding
google/codegemma-7b-it,6,0.2,69.67,90,7,3,code completion; code generation; code review; code search; coding; cybersecurity; verification
google/gemma-2b-it,6,0.2,69.87,91,4,3,code generation; code review; logging; security testing
internlm/AlchemistCoder-DS-6.7B,6,0.2,70.07,92,3,2,code generation; code review; coding
zai-org/GLM-4.7-Flash,6,0.2,70.27,93,2,1,code generation; coding
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,6,0.2,70.47,94,5,2,code generation; code review; coding; debugging; logging
answerdotai/ModernBERT-base,6,0.2,70.67,95,5,3,cybersecurity; data analysis; logging; sentiment analysis; verification
dphn/dolphin-2.1-mistral-7b,6,0.2,70.87,96,1,1,code generation
google/gemma-3-1b-pt,6,0.2,71.07,97,5,2,code generation; code summarization; information security; static analysis; vulnerability detection
meta-llama/Meta-Llama-3-8B-Instruct,6,0.2,71.27,98,6,3,bug localization; code completion; code generation; code review; coding; data analysis
google/gemma-3-4b-pt,6,0.2,71.47,99,5,3,code generation; code review; coding; static analysis; vulnerability detection
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,6,0.2,71.67,100,7,2,code completion; code generation; coding; data analysis; design pattern; software architecture; system design
DavidAU/Qwen3-Deckard-Large-Almost-Human-6B-III-Final-OMEGA,6,0.2,71.87,101,2,1,code generation; coding
Qwen/Qwen2-72B,6,0.2,72.07,102,2,1,code generation; data analysis
Qwen/Qwen1.5-MoE-A2.7B,6,0.2,72.27,103,1,1,code generation
ibm-granite/granite-3.1-2b-base,6,0.2,72.47,104,2,1,code completion; coding
Qwen/Qwen3-VL-4B-Thinking,6,0.2,72.67,105,2,1,code generation; coding
describeai/gemini,5,0.17,72.84,106,2,2,code generation; information security
DavidAU/Qwen3-ST-TNG-DS9-Voyager-Unhinged2-6B,5,0.17,73.01,107,2,1,code generation; coding
NousResearch/Meta-Llama-3-8B,5,0.17,73.18,108,3,1,code completion; code generation; data analysis
Kwaipilot/KAT-Dev,5,0.17,73.35,109,2,1,code generation; coding
mradermacher/Qwen3-8B-DND-Almost-Human-B-e32-i1-GGUF,5,0.17,73.52,110,2,1,code generation; coding
LeroyDyer/LCARS_AI_StarTrek_Computer,5,0.17,73.69,111,1,1,coding
LeroyDyer/SpyazWeb_AI_DeepMind_Project,5,0.17,73.86,112,1,1,coding
LeroyDyer/SpydazWeb_AI_Swahili_Project,5,0.17,74.03,113,1,1,coding
huggingface/CodeBERTa-small-v1,5,0.17,74.2,114,2,1,code completion; code search
CohereLabs/c4ai-command-r-plus,5,0.17,74.37,115,1,1,code completion
Qwen/Qwen3.5-0.8B-Base,5,0.17,74.54,116,4,3,code generation; code review; data analysis; verification
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,5,0.17,74.71,117,1,1,code generation
meta-llama/Llama-3.1-405B,5,0.17,74.88,118,2,1,code generation; coding
mistralai/Mixtral-8x7B-v0.1,5,0.17,75.05,119,2,1,code generation; coding
EleutherAI/gpt-neo-125m,5,0.17,75.22,120,3,1,code generation; coding; program synthesis
stabilityai/stable-code-3b,5,0.17,75.39,121,2,1,code generation; coding
deepseek-ai/deepseek-coder-33b-instruct,5,0.17,75.56,122,4,2,code completion; code generation; code review; debugging
meta-llama/Llama-3.2-3B,5,0.17,75.73,123,7,3,code completion; code generation; coding; debugging; decompilation; static analysis; verification
Qwen/Qwen3-VL-2B-Thinking,5,0.17,75.9,124,1,1,code generation
bigscience/bloom,5,0.17,76.07,125,3,2,code generation; program synthesis; rapid prototyping
Salesforce/codegen-16B-multi,5,0.17,76.24,126,2,1,code generation; program synthesis
SEBIS/code_trans_t5_base_code_documentation_generation_java,4,0.14,76.38,127,3,1,api recommendation; code comment generation; code summarization
deepseek-ai/DeepSeek-Coder-V2-Lite-Base,4,0.14,76.52,128,2,1,code completion; code generation
Qwen/Qwen1.5-1.8B,4,0.14,76.66,129,3,1,code generation; code understanding; coding
Salesforce/codet5p-220m,4,0.14,76.8,130,6,2,code completion; code generation; code understanding; security design; test generation; vulnerability detection
Qwen/Qwen3.5-2B-Base,4,0.14,76.94,131,2,2,code generation; verification
Salesforce/codegen-2B-multi,4,0.14,77.08,132,2,1,code generation; program synthesis
cortexso/qwen2.5-coder,4,0.14,77.22,133,1,1,code editing
huggyllama/llama-30b,4,0.14,77.36,134,2,1,code generation; coding
deepse/CodeUp-Llama-2-13b-chat-hf,4,0.14,77.5,135,1,1,code generation
deepse/CodeUp-alpha-Llama-2-13b-chat-hf,4,0.14,77.64,136,1,1,code generation
Salesforce/codet5-large,4,0.14,77.78,137,3,2,code generation; code understanding; software testing
Qwen/Qwen3.5-9B-Base,4,0.14,77.92,138,2,1,code generation; coding
codellama/CodeLlama-13b-Python-hf,4,0.14,78.06,139,3,1,code completion; code generation; coding
Qwen/Qwen3.5-35B-A3B-Base,4,0.14,78.2,140,2,2,code generation; debugging
bigcode/starcoderbase-1b,4,0.14,78.34,141,3,1,code completion; code generation; coding
google/codegemma-2b,4,0.14,78.48,142,1,1,code generation
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,4,0.14,78.62,143,3,2,code completion; code review; coding
deepseek-ai/DeepSeek-V3.2-Exp-Base,4,0.14,78.76,144,2,2,code generation; system design
Yhhhhhhhhh/deepseeker-coder-6.7b-base-yh,4,0.14,78.9,145,2,2,code generation; verification
baidu/ERNIE-4.5-21B-A3B-Thinking,4,0.14,79.04,146,2,1,code generation; coding
Qwen/Qwen2-7B,4,0.14,79.18,147,3,1,code generation; coding; data analysis
OpenLemur/lemur-70b-chat-v1,4,0.14,79.32,148,1,1,code generation
Qwen/Qwen2-1.5B,4,0.14,79.46,149,1,1,code translation
ibm-granite/granite-4.0-1b-base,4,0.14,79.6,150,1,1,code completion
ibm-granite/granite-4.0-micro-base,4,0.14,79.74,151,1,1,code completion
DavidAU/L3.2-Rogue-Creative-Instruct-Uncensored-Abliterated-7B,4,0.14,79.88,152,2,1,code generation; coding
meta-llama/CodeLlama-34b-hf,4,0.14,80.02,153,4,2,code completion; code generation; software testing; test generation
meta-llama/Llama-2-7b-chat-hf,4,0.14,80.16,154,3,1,code completion; code generation; coding
microsoft/Phi-3-medium-128k-instruct,4,0.14,80.3,155,2,1,code generation; coding
juyongjiang/CodeUp-Llama-2-13b-chat-hf,4,0.14,80.44,156,1,1,code generation
microsoft/phi-1,4,0.14,80.58,157,3,1,code generation; coding; data analysis
DavidAU/Qwen3-MOE-2x8B-TNG-Deckard-Beta-16B,4,0.14,80.72,158,2,1,code generation; coding
uukuguy/speechless-zephyr-code-functionary-7b,4,0.14,80.86,159,2,1,code completion; code generation
DavidAU/Qwen3-Esper3-Reasoning-Instruct-6B-Brainstorm20x-Enhanced-E32-128k-ctx,4,0.14,81.0,160,2,1,code generation; coding
DavidAU/Qwen3-DND-LoveCraft-Master-of-Horror-Jan-v1-256k-ctx-8B,4,0.14,81.14,161,2,1,code generation; coding
internlm/AlchemistCoder-L-7B,4,0.14,81.28,162,2,1,code generation; coding
meta-llama/Llama-2-13b-hf,4,0.14,81.42,163,2,1,code generation; code search
KoboldAI/Mistral-7B-Erebus-v3,4,0.14,81.56,164,1,1,coding
meta-llama/CodeLlama-70b-hf,4,0.14,81.7,165,3,2,code completion; software testing; test generation
mradermacher/Qwen3-6B-Almost-Human-XMEN-X4-X2-X1-Dare-e32-GGUF,4,0.14,81.84,166,2,1,code generation; coding
ByteDance-Seed/Seed-Coder-8B-Base,4,0.14,81.98,167,3,1,code completion; code editing; code generation
openlm-research/open_llama_3b_v2,4,0.14,82.12,168,1,1,code generation
zai-org/GLM-4.5-Air,3,0.1,82.22,169,1,1,code generation
rednote-hilab/dots.ocr,3,0.1,82.32,170,1,1,code representation
Sao10K/L3-8B-Stheno-v3.2,3,0.1,82.42,171,4,2,code completion; code generation; verification; vulnerability detection
deepseek-ai/DeepSeek-R1,3,0.1,82.52,172,2,1,code completion; code generation
Qwen/Qwen2.5-VL-3B-Instruct,3,0.1,82.62,173,2,1,code search; code understanding
Qwen/Qwen2.5-VL-7B-Instruct,3,0.1,82.72,174,3,2,code generation; defect detection; verification
Alibaba-Apsara/DASD-4B-Thinking,3,0.1,82.82,175,2,2,code generation; debugging
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,3,0.1,82.92,176,2,1,code completion; coding
microsoft/Phi-4-mini-instruct,3,0.1,83.02,177,2,1,code generation; coding
pipizhao/Pandalyst_13B_V1.0,3,0.1,83.12,178,1,1,data analysis
DavidAU/Qwen3-Stargate-SG1-Uncensored-Abliterated-8B,3,0.1,83.22,179,2,1,code generation; coding
Qwen/Qwen3-235B-A22B-Thinking-2507,3,0.1,83.32,180,1,1,code generation
zai-org/GLM-4.6-FP8,3,0.1,83.42,181,1,1,code generation
DavidAU/Qwen3-MOE-4x4B-16B-Jan-Polaris-Instruct-Power-House,3,0.1,83.52,182,2,1,code generation; coding
DavidAU/Mistral-Magistral-Devstral-Instruct-FUSED-CODER-Reasoning-36B,3,0.1,83.62,183,2,1,code generation; coding
deepseek-ai/DeepSeek-Coder-V2-Base,3,0.1,83.72,184,1,1,code completion
pipizhao/Pandalyst-7B-V1.1,3,0.1,83.82,185,1,1,data analysis
p-e-w/gpt-oss-20b-heretic,3,0.1,83.92,186,2,1,code generation; coding
uukuguy/speechless-tora-code-7b-v1.0,3,0.1,84.02,187,1,1,coding
openlm-research/open_llama_3b,3,0.1,84.12,188,1,1,code generation
mradermacher/Qwen3-SG1-10S-III-INSTRUCT-Float32-256k-ctx-6B-i1-GGUF,3,0.1,84.22,189,2,1,code generation; coding
DavidAU/Qwen3-42B-A3B-Spock-Brutal-Recall-Instruct,3,0.1,84.32,190,2,1,code generation; coding
togethercomputer/LLaMA-2-7B-32K,3,0.1,84.42,191,1,1,code generation
tiiuae/falcon-7b,3,0.1,84.52,192,1,1,coding
mradermacher/Qwen3-DND-Darkest-BIG-Jan-Horror-v1-256k-ctx-8B-GGUF,3,0.1,84.62,193,2,1,code generation; coding
mradermacher/Mistral-2x24B-MOE-Power-Magistral-Devstral-Reasoning-Ultimate-44B-i1-GGUF,3,0.1,84.72,194,2,1,code generation; coding
mradermacher/Qwen3-2x6B-TNG-Deckard-Alpha-12B-LH-i1-GGUF,3,0.1,84.82,195,2,1,code generation; coding
EleutherAI/gpt-neo-1.3B,3,0.1,84.92,196,2,1,code generation; coding
replit/replit-code-v1-3b,3,0.1,85.02,197,2,1,code completion; code generation
internlm/JanusCoder-14B,3,0.1,85.12,198,1,1,code generation
HuggingFaceTB/SmolLM3-3B-Base,3,0.1,85.22,199,2,2,code generation; logging
Xwin-LM/XwinCoder-13B,3,0.1,85.32,200,1,1,code generation
